symbol,name,display_order,value,previous_close,change_1d_pct,change_1d_abs,as_of,updated_at
^N225,日経平均,1,69360.88,72366.34,-4.1531196,-3005.461,2026-06-26,2026-06-28T09:51:07.497Z
^TOPX,TOPIX,2,,,,,2019-06-28,2026-06-28T09:51:07.497Z
JPY=X,USD/JPY,3,161.685,161.777,-0.05686547,-0.09199524,2026-06-28,2026-06-28T09:51:07.497Z
^SOX,SOX 指数,4,13203.569,13940.87,-5.2887716,-737.3008,2026-06-26,2026-06-28T09:51:07.497Z
^GSPC,S&P 500,5,7354.02,7357.49,-0.04716574,-3.4702148,2026-06-26,2026-06-28T09:51:07.497Z
