code,price_jpy,price_date,change_1d_pct,change_1m_pct,change_1y_pct,market_cap_oku,market_cap_tier,per,per_forecast,pbr,psr,ev_ebitda,peg,roe,dividend_yield,dividend_annual,dividend_payout_ratio,total_return_yield,ma_25,ma_75,ma_200,high_52w,low_52w,rsi_14,avg_volume_3m,credit_buy,credit_sell,credit_ratio,price_history_json,foreign_ownership,individual_ownership,stable_ownership,latest_revenue_oku,latest_op_profit_oku,latest_op_margin,target_consensus,target_high,target_low,analyst_buy,analyst_hold,analyst_sell,valuation_verdict,valuation_score,updated_at
1435,161,2026-06-26,-1.2269938,-1.8292682926829267,10.273972602739725,143,,7.2719064,,1.3118654,,,,,1.2269938,,,,160.48,,,277,145,50,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.929Z
1436,1394,2026-06-26,0.72254336,-22.59855635757912,96.3380281690141,172,,35.974194,,3.11539,,,,,0,,,,1569.32,,,2184,693,38.027108433734945,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.929Z
1438,1890,2026-06-26,1.7222819,3.109656301145663,-2.072538860103627,61,,12.284693,,1.363478,,,,,0.9687836,,,,1851.4,,,2030,1758,60.57142857142857,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.930Z
1443,244,2026-06-26,0.82644624,0.411522633744856,26.42487046632124,40,,6.4550266,,0.30654076,,,,,0.45454550000000005,,,,237.24,,,375,190,73.52941176470588,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.931Z
1444,2806,2026-06-26,-0.035625223,2.259475218658892,-0.07122507122507123,31,,,,1.854526,,,,,0,,,,2817.24,,,3005,2520,39.14473684210527,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.931Z
1446,525,2026-06-26,0,-0.3795066413662239,-5.913978494623656,49,,19.007965,,1.5533923,,,,,1.5238095,,,,524.08,,,598,516,60,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.932Z
1447,259,2026-06-26,0.7782101,-11.904761904761903,4.016064257028113,63,,13.718221,,5.801451,,,,,0,,,,282.4,,,475,230,32.94117647058823,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.933Z
1450,1340,2026-06-26,-4.8295455,-5.099150141643059,-4.2172980700500355,117,,7.7577724,,1.2500081,,,,,0,,,,1366.28,,,1870,1300,48.10126582278481,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.934Z
1491,642,2026-06-26,-1.3824885,-10.833333333333334,-34.48979591836735,92,,6.104983,,0.9850478,,,,,0,,,,689.72,,,1480,632,40.86021505376344,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.934Z
1514,520,2026-06-26,-1.1406845,-11.41396933560477,-13.333333333333334,311,,11.791384,,1.0671505,,,,,0,,,,559.4,,,1557,506,28.244274809160302,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.935Z
